kafka-exporter  | 2025-10-12T12:01:57.585021322Z I1012 12:01:57.583846       1 kafka_exporter.go:847] Starting kafka_exporter (version=1.9.0, branch=master, revision=18b18d5e798095722c9189bc27db3842fab31a98)
nginx           | 2025-10-12T12:02:14.469925973Z {"timestamp":"2025-10-12T12:02:14+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/","status":200,"body_bytes_sent":3286,"request_time":0.000,"upstream_response_time":"","upstream_addr":"","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:14.947884104Z {"timestamp":"2025-10-12T12:02:14+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/script.js","status":200,"body_bytes_sent":12868,"request_time":0.000,"upstream_response_time":"","upstream_addr":"","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:14.955399778Z {"timestamp":"2025-10-12T12:02:14+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/styles.css","status":200,"body_bytes_sent":5472,"request_time":0.000,"upstream_response_time":"","upstream_addr":"","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:15.332767293Z {"timestamp":"2025-10-12T12:02:15+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/logs","status":200,"body_bytes_sent":94,"request_time":0.005,"upstream_response_time":"0.005","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:15.494637131Z {"timestamp":"2025-10-12T12:02:15+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/menu","status":200,"body_bytes_sent":549,"request_time":0.008,"upstream_response_time":"0.008","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:18.327385042Z {"timestamp":"2025-10-12T12:02:18+00:00","remote_addr":"172.18.0.1","method":"POST","uri":"/api/v1/orders","status":202,"body_bytes_sent":138,"request_time":0.023,"upstream_response_time":"0.023","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:18.419850774Z {"timestamp":"2025-10-12T12:02:18+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/logs","status":200,"body_bytes_sent":166,"request_time":0.002,"upstream_response_time":"0.002","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:18.546408195Z {"timestamp":"2025-10-12T12:02:18+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/orders/order_1760270538305_c0da29ef","status":200,"body_bytes_sent":237,"request_time":0.006,"upstream_response_time":"0.006","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:19.879058025Z {"timestamp":"2025-10-12T12:02:19+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/orders/order_1760270538305_c0da29ef","status":200,"body_bytes_sent":238,"request_time":0.003,"upstream_response_time":"0.003","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:21.475543026Z {"timestamp":"2025-10-12T12:02:21+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/logs","status":200,"body_bytes_sent":240,"request_time":0.003,"upstream_response_time":"0.003","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:24.477040790Z {"timestamp":"2025-10-12T12:02:24+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/logs","status":200,"body_bytes_sent":240,"request_time":0.002,"upstream_response_time":"0.002","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:24.609611562Z {"timestamp":"2025-10-12T12:02:24+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/orders/order_1760270538305_c0da29ef","status":200,"body_bytes_sent":238,"request_time":0.003,"upstream_response_time":"0.003","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:27.477481916Z {"timestamp":"2025-10-12T12:02:27+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/logs","status":200,"body_bytes_sent":240,"request_time":0.002,"upstream_response_time":"0.002","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:27.629610217Z {"timestamp":"2025-10-12T12:02:27+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/orders/order_1760270538305_c0da29ef","status":200,"body_bytes_sent":238,"request_time":0.002,"upstream_response_time":"0.002","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:29.589168556Z {"timestamp":"2025-10-12T12:02:29+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/orders/order_1760270538305_c0da29ef","status":200,"body_bytes_sent":238,"request_time":0.003,"upstream_response_time":"0.003","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx           | 2025-10-12T12:02:30.634694342Z {"timestamp":"2025-10-12T12:02:30+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/logs","status":200,"body_bytes_sent":240,"request_time":0.003,"upstream_response_time":"0.003","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
order-outbox-processor  | 2025-10-12T12:01:56.703777520Z Initializing logs for service: order-outbox-processor
order-outbox-processor  | 2025-10-12T12:01:56.737388043Z Created log file: /app/logs/order-outbox-processor.log
order-outbox-processor  | 2025-10-12T12:01:56.769580135Z Log initialization completed for order-outbox-processor
order-outbox-processor  | 2025-10-12T12:01:59.583342043Z Service initialized
order-outbox-processor  | 2025-10-12T12:01:59.729003962Z Database connection pool established
order-outbox-processor  | 2025-10-12T12:01:59.733412442Z Orders database initialized
order-outbox-processor  | 2025-10-12T12:01:59.733953863Z Outbox Processor initialized
order-outbox-processor  | 2025-10-12T12:01:59.742333818Z Cleaned up old processed events
order-outbox-processor  | 2025-10-12T12:01:59.744143447Z 🚀 Starting Outbox Processor
order-outbox-processor  | 2025-10-12T12:02:19.780373773Z 🍕 ЗАКАЗ ПИЦЦЫ: Обрабатываем событие из Outbox
order-outbox-processor  | 2025-10-12T12:02:19.780405802Z 🍕 ЗАКАЗ ПИЦЦЫ: Отправляем событие в Kafka
order-outbox-processor  | 2025-10-12T12:02:19.919471796Z Event successfully published to Kafka
order-outbox-processor  | 2025-10-12T12:02:19.925938236Z 🍕 ЗАКАЗ ПИЦЦЫ: Событие успешно отправлено в Kafka и помечено как обработанное
order-outbox-processor  | 2025-10-12T12:02:19.925956019Z Processed outbox events
order-outbox-processor  | 2025-10-12T12:02:24.929329573Z 🍕 ЗАКАЗ ПИЦЦЫ: Обрабатываем событие из Outbox
order-outbox-processor  | 2025-10-12T12:02:24.929586871Z 🍕 ЗАКАЗ ПИЦЦЫ: Отправляем событие в Kafka
order-outbox-processor  | 2025-10-12T12:02:24.933178677Z Event successfully published to Kafka
order-outbox-processor  | 2025-10-12T12:02:24.948792122Z 🍕 ЗАКАЗ ПИЦЦЫ: Событие успешно отправлено в Kafka и помечено как обработанное
order-outbox-processor  | 2025-10-12T12:02:24.948806169Z Processed outbox events
order-outbox-processor  | 2025-10-12T12:02:29.948967572Z 🍕 ЗАКАЗ ПИЦЦЫ: Обрабатываем событие из Outbox
order-outbox-processor  | 2025-10-12T12:02:29.948992859Z 🍕 ЗАКАЗ ПИЦЦЫ: Отправляем событие в Kafka
order-outbox-processor  | 2025-10-12T12:02:29.960221313Z Event successfully published to Kafka
order-outbox-processor  | 2025-10-12T12:02:29.962592980Z 🍕 ЗАКАЗ ПИЦЦЫ: Событие успешно отправлено в Kafka и помечено как обработанное
order-outbox-processor  | 2025-10-12T12:02:29.963190746Z Processed outbox events
order-outbox-processor  | 2025-10-12T12:02:34.964697565Z 🍕 ЗАКАЗ ПИЦЦЫ: Обрабатываем событие из Outbox
order-outbox-processor  | 2025-10-12T12:02:34.964788165Z 🍕 ЗАКАЗ ПИЦЦЫ: Отправляем событие в Kafka
order-outbox-processor  | 2025-10-12T12:02:34.968353995Z Event successfully published to Kafka
order-outbox-processor  | 2025-10-12T12:02:34.970791205Z 🍕 ЗАКАЗ ПИЦЦЫ: Событие успешно отправлено в Kafka и помечено как обработанное
order-outbox-processor  | 2025-10-12T12:02:34.970805131Z Processed outbox events
order-outbox-processor  | 2025-10-12T12:02:39.972132441Z 🍕 ЗАКАЗ ПИЦЦЫ: Обрабатываем событие из Outbox
order-outbox-processor  | 2025-10-12T12:02:39.972529160Z 🍕 ЗАКАЗ ПИЦЦЫ: Отправляем событие в Kafka
order-outbox-processor  | 2025-10-12T12:02:39.975769331Z Event successfully published to Kafka
order-outbox-processor  | 2025-10-12T12:02:39.977956923Z 🍕 ЗАКАЗ ПИЦЦЫ: Событие успешно отправлено в Kafka и помечено как обработанное
order-outbox-processor  | 2025-10-12T12:02:39.977964738Z Processed outbox events
order-outbox-processor  | 2025-10-12T12:02:44.979602754Z 🍕 ЗАКАЗ ПИЦЦЫ: Обрабатываем событие из Outbox
order-outbox-processor  | 2025-10-12T12:02:44.979628963Z 🍕 ЗАКАЗ ПИЦЦЫ: Отправляем событие в Kafka
order-outbox-processor  | 2025-10-12T12:02:44.984147148Z Event successfully published to Kafka
order-outbox-processor  | 2025-10-12T12:02:44.988299460Z 🍕 ЗАКАЗ ПИЦЦЫ: Событие успешно отправлено в Kafka и помечено как обработанное
order-outbox-processor  | 2025-10-12T12:02:44.988982045Z Processed outbox events
order-outbox-processor  | 2025-10-12T12:02:49.990530313Z 🍕 ЗАКАЗ ПИЦЦЫ: Обрабатываем событие из Outbox
order-outbox-processor  | 2025-10-12T12:02:49.990615519Z 🍕 ЗАКАЗ ПИЦЦЫ: Отправляем событие в Kafka
order-outbox-processor  | 2025-10-12T12:02:49.993339995Z Event successfully published to Kafka
nginx                   | 2025-10-12T12:02:33.492407559Z {"timestamp":"2025-10-12T12:02:33+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/logs","status":200,"body_bytes_sent":240,"request_time":0.002,"upstream_response_time":"0.002","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:34.481581525Z {"timestamp":"2025-10-12T12:02:34+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/orders/order_1760270538305_c0da29ef","status":200,"body_bytes_sent":238,"request_time":0.002,"upstream_response_time":"0.002","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:36.476534763Z {"timestamp":"2025-10-12T12:02:36+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/logs","status":200,"body_bytes_sent":240,"request_time":0.002,"upstream_response_time":"0.002","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:39.483949291Z {"timestamp":"2025-10-12T12:02:39+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/orders/order_1760270538305_c0da29ef","status":200,"body_bytes_sent":238,"request_time":0.006,"upstream_response_time":"0.006","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:39.490038048Z {"timestamp":"2025-10-12T12:02:39+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/logs","status":200,"body_bytes_sent":240,"request_time":0.007,"upstream_response_time":"0.007","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:42.494397405Z {"timestamp":"2025-10-12T12:02:42+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/logs","status":200,"body_bytes_sent":240,"request_time":0.002,"upstream_response_time":"0.002","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:43.679071421Z {"timestamp":"2025-10-12T12:02:43+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/orders/order_1760270538305_c0da29ef","status":200,"body_bytes_sent":238,"request_time":0.002,"upstream_response_time":"0.002","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:43.886731537Z {"timestamp":"2025-10-12T12:02:43+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/orders/order_1760270538305_c0da29ef","status":200,"body_bytes_sent":239,"request_time":0.002,"upstream_response_time":"0.002","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:44.721687479Z {"timestamp":"2025-10-12T12:02:44+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/orders/order_1760270538305_c0da29ef","status":200,"body_bytes_sent":238,"request_time":0.003,"upstream_response_time":"0.002","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:45.263937775Z {"timestamp":"2025-10-12T12:02:45+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/orders/order_1760270538305_c0da29ef","status":200,"body_bytes_sent":238,"request_time":0.009,"upstream_response_time":"0.009","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:45.282070870Z {"timestamp":"2025-10-12T12:02:45+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/logs","status":200,"body_bytes_sent":240,"request_time":0.003,"upstream_response_time":"0.003","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:45.329700381Z {"timestamp":"2025-10-12T12:02:45+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/styles.css","status":304,"body_bytes_sent":0,"request_time":0.000,"upstream_response_time":"","upstream_addr":"","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:48.276566926Z {"timestamp":"2025-10-12T12:02:48+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/logs","status":200,"body_bytes_sent":240,"request_time":0.002,"upstream_response_time":"0.002","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:48.874677830Z {"timestamp":"2025-10-12T12:02:48+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/orders/order_1760270538305_c0da29ef","status":200,"body_bytes_sent":238,"request_time":0.002,"upstream_response_time":"0.002","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:50.419076457Z {"timestamp":"2025-10-12T12:02:50+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/orders/order_1760270538305_c0da29ef","status":200,"body_bytes_sent":238,"request_time":0.001,"upstream_response_time":"0.001","upstream_addr":"172.18.0.19:5001","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
nginx                   | 2025-10-12T12:02:51.280253652Z {"timestamp":"2025-10-12T12:02:51+00:00","remote_addr":"172.18.0.1","method":"GET","uri":"/api/v1/logs","status":200,"body_bytes_sent":240,"request_time":0.001,"upstream_response_time":"0.002","upstream_addr":"172.18.0.13:5000","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","referer":"https://bookish-engine-979r555q5rp92xgvx-80.app.github.dev/","x_forwarded_for":"213.111.177.168"}
